-6.935246, 0.814574, 5.572391, 0.737981
5.572391, 0.692025, 5.664303, 9.247462
-6.743763, 9.308737, 5.656643, 9.262781
-6.927586, 0.829892, -6.743763, 9.285759
-0.785049, 5.684098, -0.785049, 5.684098
-0.780759, 5.692678, -0.780759, 5.692678
-0.780759, 5.692678, -0.780759, 5.692678
-0.780759, 5.705548, -0.780759, 5.705548
-0.780759, 5.731287, -0.780759, 5.731287
-1.796801, 3.993432, -1.410816, 4.335645
-1.410816, 4.335645, 0.992635, 4.335645
0.992635, 4.335645, 1.513913, 3.945681
-1.804759, 3.993432, -1.804759, 0.770260
1.508362, 3.946688, 1.592640, 0.673894
-1.788892, 6.842031, -1.507229, 6.522814
-1.507229, 6.522814, 1.059923, 6.552321
1.059923, 6.552321, 1.540090, 6.839349
1.542773, 6.836666, 1.558868, 9.283106
-1.791574, 6.836666, -1.796939, 9.326026
